sent0,sent1,label
he usually plays basketball with his feet.,he usually plays basketball with his hands.,0
tigers like eating grass.,tigers like eating meat.,0
a bird flies in the sky.,a bird swims in the water.,1
she was born on September 15th.,she was born on September 31th.,1
dogs catch and eat rats.,cats catch and eat rats.,0
I sleep 8 hours a day.,I sleep 25 hours a day.,1
he was sad when he lost his lover.,he was happy when he lost his lover.,1
he gets a bad dream when he is asleep.,he gets a bad dream when he is awake.,1
Tom gets passed when he tries to cross a concrete wall.,Tom gets knocked when he tries to cross a concrete wall.,0
sleep is necessary for people.,playing is necessary for people.,1
Peter makes a law after getting up every day.,Peter makes the bed after getting up every day.,0
my mom always asked me to take the medicine after the meal in my sick and painful years.,my mom always asked me to take a vote after the meal in my sick and painful years.,1
dad getting up in the early morning of refreshing weather makes me very worried.,dad driving at night in complex road conditions makes me very worried.,0
the formerly lonely man feel sad after chatting with friends for hours.,the formerly lonely man feel happy after chatting with friends for hours.,0
Tom went to the office to see live entertainment.,Tom went to the theatre to see live entertainment.,0
"the man was showing off a wristwatch, he was trying to hock it for drug money.","the man was showing off a wristwatch, he was trying to donate it for drug money.",1
Mary is constantly making up to make her ugly.,Mary is constantly making up to make her beautiful.,0
the soldier wears a down jacket to protect himself from a bullet.,the soldier wears a body armor to protect himself from a bullet.,0
Sleeping helps one to go forward.,Learning helps one to go forward.,0
Debbie buys a ficus and put it in the flower garden.,Debbie buys a ficus and put it in the internet bar.,1
my cat really likes being bathed.,my cat really dislikes being bathed.,0
the teacher opened up the left drawer and took out the paper clips to arrange and sort papers at her desk.,the teacher opened up the water bottle and took out the paper clips to arrange and sort papers at her desk.,1
being alive is the opposite of being dead.,being nervous is the opposite of being dead.,1
a pigeon is flying in the sky.,a pig is flying in the sky.,1
pandas like eating bamboo.,pandas like eating bomb.,1
Jason goes hiking with his lovely dog.,Jason plays computer games with his lovely dog.,1
"because he could not finish the assignment, his parents were called to the school by the teacher.","because he could not finish the assignment, his girlfriend was called to the school by the teacher.",1
"Alex is admitted by MIT, which makes his mother very depressed.","Alex is admitted by MIT, which makes his mother very proud.",0
I worked 31 days in February this year.,I worked 27 days in February this year.,0
I saw a tree walking yesterday.,I saw a tree staying still yesterday.,0
the moon is round tonight.,the moon is square tonight.,1
Lilly barbecues fish on the ground.,Lilly barbecues fish in the water.,1
I eat my cooked lunch from a bowl.,I eat my cooked lunch from a dustbin.,1
I usually read books in the night with light off.,I usually read books in the night with light on.,0
I'm searching a chinese word in an english dictionary.,I'm searching a chinese word in a chinese dictionary.,0
I wear my right shoe on my left feet.,I wear my right shoe on my right feet.,0
I listen to music with my eyes.,I listen to music with my ears.,0
I opened my house's door by my house's key.,I opened my house's door by my car's key.,1
I drink salt water when I'm thirsty.,I drink pure water when I'm thirsty.,0
I wear a coat when I'm hot.,I wear a coat when I'm cold.,0
trees usually fall leaves in autumn.,trees usually fall leaves in spring.,1
I see the sunshine in the day.,I see the sunshine at night.,1
a boy wears high-heeled shoes.,a girl wears high-heeled shoes.,0
human has a tail.,dog has a tail.,0
I'm angry when I'm insulted.,I'm happy when I'm insulted.,1
a dog is walking on the ground.,a fish is walking on the ground.,1
I jump with my legs.,I jump with my arms.,1
I feel my tears when I'm crying.,I feel my tears when I'm laughing.,1
I felt sad when my father passed away.,I felt happy when my father passed away.,1
a car is faster than a bike.,a car is slower than a bike.,1
there are a lot of patients in the hospital.,there are a lot of teachers in the hospital.,1
the slow wind is a catastrophe.,the typhoon is a catastrophe.,0
"when somebody is sad, he will cry.","when somebody is sad ,he will laugh.",1
the ice-cream is hot.,the ice-cream is cold.,0
I watch radio after dinner.,I watch TV after dinner.,0
my brother drink water every day.,my brother drink petroleum every day.,1
my friend works 40 hours a week.,my friend works 200 hours a week.,1
Sam's hair gradually turns green as he gets older.,Sam's hair gradually turns white as he gets older.,0
he pours oil to stop fire.,he pours water to stop fire.,0
the earth is smaller than the sun.,the earth is smaller than the moon.,1
a boat is sailing in the sky.,a boat is sailing on the sea.,0
an old hen lay an egg.,an old cock lay an egg.,1
he likes eating volleyballs in summer.,he likes eating watermelons in summer.,0
he breathes air in space.,he breathes air on the earth.,0
"though he's deaf, he often reads books.","though he's blind, he often reads books.",1
he's tired after playing an exciting basketball game.,he's energetic after playing an exciting basketball game.,1
there's much water in the desert.,there's much sand in the desert.,0
lake runs from a place to another.,river runs from a place to another.,0
I draw pictures by pencil.,I draw pictures by cigarette.,1
I get good grades because I don't study at all.,I get good grades because I study hard.,0
a butterfly used to be an egg.,a butterfly used to be a caterpillar.,0
ice will change into steam when it melts.,ice will change into water when it melts.,0
Peter barbecues meat with water.,Peter barbecues meat with fire.,0
he worked in Africa for 13 months last year.,he worked in Africa for 6 months last year.,0
zebras are in white and black color.,zebras are in white color only.,1
I walk on the water.,I walk on the ground.,0
She feels so sleepy when she is watching a interesting film.,she feels so sleepy when she is watching a boring film.,0
